bedrooms,bathrooms,useable_lot,price,homemarkup,liveable_space
2,1.5,3286.333333,622014.25,4.590224138,1090
4,2.5,4537,207761.84,3.297126437,1470
3,1.5,3920,803624.25,6.934482759,2200
3,2.5,202256,499427.5,2.65,2720
2,1.75,10974,544830,3.323563218,2080
4,2.25,33766,422197.8475,2.418390805,2350
2,1,8090,273323.05,3.90862069,910
4,2.5,7869,612684.0363,4.427011494,2700
3,1,2960,399542,4.476436782,1040
2,1,3095,499427.5,4.637931034,1420
4,2.5,6890,399542,2.486781609,2410
5,1.75,9290,290530.5975,2.681034483,1710
3,2.5,11064,354139.5,4.927011494,1410
3,1.5,6580,186150.25,2.116666667,1420
3,1.75,8740,354139.5,3.257471264,1430
2,0.75,9875,395001.75,3.732758621,750
3,1.5,3266.666667,608393.5,4.063218391,1220
4,1.75,9480,635635,5.904022989,1980
4,2.5,9023,449484.75,2.486781609,2400
3,2.5,3336,661968.45,4.66954023,2440
2,2.25,11868,481266.5,2.418390805,2080
4,1.5,4380,681037.5,4.320689655,2030
5,3.5,4720,567531.25,2.49137931,4010
5,2.25,7302,780923,8.884482759,1960
3,2.75,274154,486714.8,2.418390805,2290
4,2.25,6773,481266.5,3.298850575,1940
3,1.75,2678.333333,431323.75,5.518390805,1720
2,1,5520,122586.75,2.136206897,600
4,5,12611,2251964,5.809195402,5310
3,2,7627,1080579.5,8.884482759,2160
3,2.25,6760,245173.5,1.750574713,2080
2,1,1963,249713.75,3.459770115,830
4,2,4522,342334.85,2.936781609,1640
3,1.75,6140,408622.5,4.66954023,1720
3,1,5216,351415.35,3.297126437,1530
5,4.25,22970,1253109,9.026436782,4050
3,1.75,8150,276909.8475,3.257471264,1350
4,2.25,112618,251075.825,2.65,2380
2,1.5,2485,199771,2.65,1030
3,2.5,3679,297840.4,2.348275862,2242
3,2.25,1201,398633.95,3.19137931,1430
3,2.25,1497.666667,295116.25,3.738505747,1330
4,1,2966.666667,485806.75,4.063218391,1610
3,2.5,55570,354139.5,2.418390805,1930
3,1,7226.666667,424059.35,3.738505747,1220
3,2.5,4224,501697.625,4.32816092,2450
3,2.25,8314,671048.95,4.66954023,2220
3,1,4190,222472.25,4.590224138,910
4,1.75,3148,522128.75,3.298850575,2020
2,1,12980,473094.05,4.320689655,1050
2,1,4010,190690.5,4.320689655,990
3,2.5,9281,317817.5,3.442528736,1640
5,2.25,32527,817245,5.904022989,2510
4,1.75,6960,308737,3.193678161,1400
3,1.5,7524,299656.5,2.486781609,1440
3,2,8839,353231.45,3.406321839,2080
4,2.5,140170,581152,2.348275862,4090
3,2,58056.33333,790003.5,5.144252874,2320
3,1.75,7354,326898,2.681034483,1810
3,1.75,8603,336886.55,2.486781609,1970
5,1.75,4220,431323.75,4.590224138,2020
3,2.5,13890,381290.195,5.429885057,1630
4,1,4993.333333,387056.3125,3.297126437,1610
3,1,9473,281495.5,3.329310345,1250
1,1,3030,398270.73,4.590224138,720
2,2,4158,534841.45,5.029310345,1850
2,1,9391,311461.15,3.12816092,1110
3,2.5,6260,363174.5975,3.732758621,1510
3,1.75,6375,463105.5,3.786206897,1950
4,1.75,3370,790003.5,4.590224138,2370
2,1,5010,303288.7,3.297126437,890
4,1.75,5935,344150.95,3.12816092,2180
2,1,4288,383197.1,3.297126437,750
3,2,8391,347674.184,3.329310345,1620
5,3.75,9290,3314382.5,8.884482759,5020
2,1.5,1349,350670.749,4.476436782,960
4,2.5,3830,636543.05,3.90862069,3340
5,3.5,12821,699198.5,2.116666667,4750
2,2.5,417,849026.75,5.355747126,1680
1,1,4710,222472.25,4.590224138,390
4,3.5,4610,816336.95,4.149425287,2490
4,2.5,3745,590232.5,3.90862069,3180
3,2.5,3936,395001.75,3.786206897,1930
4,2.5,11044,467645.75,2.325862069,2980
4,2,3892,737336.6,5.272988506,2380
4,1.5,5440,535295.475,4.149425287,1440
3,1,7569,186150.25,2.486781609,1610
3,1.75,9230,409530.55,3.323563218,1790
3,1,5390,513048.25,4.668390805,910
3,3,6820,417703,3.732758621,1520
2,1,4260,189782.45,2.418390805,840
4,2.5,13974,413162.75,3.442528736,1770
2,1,3380,358679.75,5.518390805,1100
3,1.75,9482,222472.25,2.214367816,1670
4,2.5,3290,372300.5,2.418390805,3320
3,2.5,2670,407260.425,3.297126437,2080
3,1,5320,306466.875,3.19137931,1020
2,1,5500,317817.5,3.12816092,1220
4,2.5,5340,616565.95,2.65,3680
3,1,44258,454025,5.144252874,2000
3,1.75,214612,444944.5,3.406321839,2020
2,1,6160,624284.375,5.429885057,1040
3,2,155973.6667,395001.75,2.65,2570
5,3.75,13742,1175924.75,9.026436782,3490
4,3,6765,699198.5,5.144252874,2800
3,1.75,5150,635635,5.272988506,1500
4,2,2597,335978.5,3.297126437,1950
2,1,6608,413162.75,3.738505747,910
2,1,3480,544830,4.477011494,1410
3,1,4090,372300.5,2.681034483,1190
3,1,5980,217932,2.418390805,1310
2,1,6500,294662.225,3.738505747,1300
4,4,8768,3087370,6.934482759,4260
5,1.75,6928,422243.25,2.681034483,2330
3,1,4646.666667,402266.15,3.298850575,1280
4,3.25,11263,635589.5975,3.193678161,3674
5,2.25,9676,311007.125,3.329310345,2100
3,1.75,295344,362311.95,2.348275862,2170
3,2.25,7297,236093,2.418390805,1610
4,2.75,6735,293300.15,2.65,2000
4,1.5,6440,303288.7,3.193678161,1680
2,1,5140,249713.75,4.477011494,910
2,2,3135,408622.5,4.063218391,1730
3,2.25,8917,359587.8,3.442528736,1680
3,1,6609,231552.75,2.486781609,1010
4,2,2830,299656.5,4.063218391,1170
3,3,261858.6667,481266.5,2.214367816,2450
4,2.75,18956,1434719,8.884482759,3480
5,1.5,6924.333333,258794.25,2.116666667,1840
4,2.5,8664,383197.1,3.193678161,2310
4,1.75,6185,253345.95,2.325862069,1840
4,2.5,2071,413162.75,4.32816092,1780
4,1.5,45113,286943.8,5.029310345,2120
4,1.75,3160,465375.625,4.063218391,1620
4,2.75,7579,476726.25,4.254022989,2300
3,2.25,844,345059,3.459770115,1520
4,1.75,7325,326898,3.329310345,2010
4,2.5,7588.5,463105.5,2.118390805,4073
4,3.25,32583,1816054.598,5.809195402,5640
4,3,7855,589778.475,3.12816092,3150
3,2.5,7415,681037.5,5.429885057,2400
5,1.75,16119,662876.5,8.884482759,2690
5,2.75,2942,313277.25,3.12816092,1940
4,2.75,3488,1076039.25,6.934482759,2850
5,2.5,4203,322357.75,2.418390805,3220
3,1.75,85360,515772.4,5.029310345,1760
3,2.5,8346,408531.695,2.116666667,2780
3,1.75,8568,376840.75,3.800574713,1770
3,2.25,6722,247897.65,1.920114943,1930
3,1.75,5861,258794.25,1.750574713,1600
3,3,891,254254,3.297126437,1390
3,1,4230.333333,517588.5,4.320689655,1030
4,3.25,4693.333333,848618.1275,4.063218391,2320
3,2.75,7422.666667,549370.25,3.732758621,3230
4,3.25,6056,953452.5,3.329310345,4020
5,2.5,5747,344150.95,1.920114943,2803
5,2,8323,354139.5,3.12816092,2400
4,2.25,8120,297386.375,1.998275862,2240
3,2.25,6178,257886.2,2.65,1580
5,3.75,4156.666667,543195.51,3.297126437,2980
3,1.75,25128,562991,4.254022989,1680
3,1.5,5720,295116.25,2.936781609,1060
3,1.5,7773,376840.75,3.800574713,1740
2,1,9080,504421.775,5.429885057,920
4,2.25,7145,281495.5,1.998275862,1780
3,2.25,104152,567531.25,5.029310345,2570
3,2.25,1110,331438.25,3.297126437,1960
3,1.75,6045,580697.975,4.66954023,2010
4,2,5230,393185.65,2.936781609,1840
5,3.25,5675,1398397,5.518390805,2920
3,1.75,7315,269963.265,2.348275862,1980
3,2.25,2635,1346184.125,5.518390805,3290
4,2.25,34362,499427.5,4.927011494,2590
4,2.5,6100,277863.3,2.418390805,1880
5,2.75,3100,603853.25,5.518390805,2670
3,2,3509,559812.825,4.668390805,2080
2,1,4930,617474,5.272988506,2140
3,1.5,3006.666667,531209.25,4.477011494,1810
4,1.75,2730,643807.45,4.477011494,2170
4,1.5,2946.666667,681037.5,4.590224138,2060
4,2.5,2987,406806.4,3.329310345,2230
3,2,6010,230644.7,2.65,1470
4,1.5,7623.333333,278669.6484,3.738505747,1940
4,2.25,9190,558450.75,4.66954023,1780
3,2,7471,285990.3475,2.214367816,1760
4,1.75,2514.666667,1225867.5,6.934482759,2000
3,2.5,319450,408622.5,2.348275862,2880
2,1,4615,335978.5,3.459770115,910
3,1,7488,408622.5,5.429885057,1540
2,2,1210,310553.1,3.738505747,1320
2,1,15453.33333,278317.325,2.120114943,1420
4,3.5,5498,535749.5,2.486781609,3450
3,2.25,5645,263334.5,1.920114943,1620
4,2.25,6011,608393.5,5.429885057,2040
3,2.5,3985,267874.75,2.418390805,2030
3,2.25,7028,331438.25,2.486781609,2860
3,1.75,4925,267874.75,2.65,1520
3,2.25,2901,239725.2,2.348275862,1552
4,2,699,785463.25,5.355747126,2750
3,2.5,3712,254254,2.118390805,1550
2,3,-232,674227.125,4.477011494,2020
2,1,5500,322357.75,3.459770115,900
4,2.25,8290,603399.225,3.786206897,3070
2,1,7117,346875.1,2.936781609,870
4,2,3310,635635,4.149425287,2490
3,1.5,3350,556634.65,5.518390805,1470
4,2.5,7214.5,356863.65,2.325862069,2641
4,1.75,3410,515318.375,4.320689655,2190
4,1.75,11307.33333,408621.592,2.214367816,2290
4,3.5,4899,444490.475,3.442528736,2730
3,2.5,53084,428599.6,2.65,1860
3,2,3162,317772.0975,2.65,1640
5,4,14127,2722333.9,8.884482759,6670
4,3.5,11270,1150953.375,3.329310345,4640
4,2.75,7396,526623.5975,3.329310345,2460
3,2.25,9380,476726.25,4.66954023,1490
5,1,5810,395001.75,3.297126437,1410
3,1,10930,240633.25,2.116666667,1070
3,2.5,6490,467645.75,4.693678161,3000
3,2.25,35250,483082.6,4.224712644,1910
4,2.5,3978,735520.5,4.427011494,3260
5,2.5,63795,708279,4.224712644,3480
4,1.5,6920,217932,2.49137931,1920
2,1,3416,354094.0975,4.149425287,820
4,2.75,6505,279179.9725,2.120114943,2690
3,2.25,3502,446306.575,3.732758621,1560
3,1,7168,304196.75,3.298850575,1020
3,1.75,3531,249713.75,2.348275862,1890
3,2.5,8051,637451.1,5.429885057,2190
3,2.5,1138,526669,4.637931034,1980
3,1,752,217932,2.936781609,1230
4,2.5,6685,290576,2.325862069,1920
4,1.75,6365,384105.15,4.213218391,1730
4,1.75,10655,592502.625,3.298850575,3130
5,1.5,8895,204311.25,2.116666667,1790
3,1,5110,433049.045,4.320689655,1240
4,2.5,10496,517588.5,3.442528736,2640
2,2.5,31055,417703,3.995402299,1880
3,2,5150,143471.9,3.297126437,1090
3,1,8426,206581.375,2.418390805,1150
4,2.75,2985,780923,4.637931034,2720
5,2.5,10116,726440,8.884482759,3000
4,2.5,5457,483990.65,2.65,2830
4,2.25,6270,354139.5,2.49137931,3060
3,2.5,4124,320995.675,2.65,2020
3,1.75,4870,508508,5.355747126,1930
3,2,6886,236047.5975,2.325862069,1010
6,4.5,9336,353231.45,1.750574713,3560
6,2.75,5974,1348454.25,3.297126437,4430
7,1.5,13655.66667,281495.5,3.329310345,2660
3,2,14625,227012.5,2.118390805,1050
2,1,3030,706553.705,4.477011494,1480
3,1,5564,496648.867,2.936781609,1470
4,2.5,6270,271506.95,2.120114943,2300
3,1,4186.666667,703738.75,4.637931034,1460
4,2.5,6363,325989.95,2.348275862,2640
2,1,3965,270598.9,2.344827586,850
3,2.25,1110,299656.5,3.297126437,1960
3,2.5,104540,387737.35,2.65,2620
4,3,4487,385921.25,2.65,2430
2,2,6585,421335.2,3.298850575,1230
3,2.5,6609,190690.5,2.174712644,1610
4,2,4678,449484.75,4.668390805,1720
5,6,16554,3821074.4,5.809195402,7440
5,3,4081,417703,3.297126437,2008
5,2.5,10618,885348.75,5.809195402,3020
3,1.75,8920,442220.35,4.693678161,1430
2,1,13970,225650.425,2.136206897,780
3,2,8325,494887.25,4.224712644,1900
4,2.5,4194,578427.85,4.668390805,1710
3,1.75,6707,306466.875,2.116666667,1350
3,2.25,5784,254254,3.12816092,1810
3,1,9740,299656.5,3.732758621,1060
3,1,3593,335978.5,4.668390805,2150
2,1.75,4120,544830,4.637931034,1180
4,2.5,6881,635635,4.427011494,2490
3,2.5,8226,522128.75,3.786206897,1960
3,2,3940,459473.3,4.668390805,1160
4,2,18947,483536.625,3.786206897,2220
2,1.5,918,431323.75,4.637931034,1170
4,1.5,8530,320541.65,5.429885057,1100
3,2.5,4825,349599.25,2.486781609,2230
4,3,6161,395001.75,3.323563218,2270
3,2.25,13763,549370.25,3.323563218,2260
3,1,3435,581606.025,4.149425287,1070
3,2.25,6346,172529.5,2.65,1640
4,2.5,7970,545739.8661,4.66954023,2050
4,1,4010,649255.75,3.297126437,1710
4,1.75,6776,658336.25,4.224712644,2350
4,1.5,5900,235638.975,2.325862069,1300
3,1.5,197439,272415,4.224712644,1630
4,2.25,6325,454025,5.429885057,2050
3,2.5,6410,263334.5,2.118390805,1600
4,1.75,6067,172529.5,2.65,1900
3,2.5,1005,313277.25,4.590224138,1380
4,3.25,8253,1679892.5,8.884482759,4160
3,2.75,217176,712819.25,3.557471264,2990
2,1.5,3040,229282.625,3.297126437,1110
3,2.25,815.3333333,381335.5975,4.149425287,1250
4,3.75,69859,835406,3.257471264,4030
3,2.5,207116,465829.65,2.65,2150
3,2.5,3185,352866.4139,2.65,2370
3,2.5,6598,325081.9,2.418390805,2026
4,2.5,47175,413162.75,2.65,2210
3,1.75,4760,367760.25,3.297126437,2390
4,1.75,7170,531209.25,4.66954023,2430
2,1.5,1218,181610,2.348275862,1360
3,2,6305,229736.65,1.920114943,1490
3,2.5,6239,340518.75,1.920114943,2050
4,2.5,5170,411573.6625,3.442528736,2260
1,0.75,164588,227012.5,3.442528736,940
6,2.75,3590,335978.5,1.750574713,3240
3,3.25,3921,1107821,5.272988506,3960
2,1,4560,631094.75,4.590224138,1140
3,1.75,3813.333333,544830,4.668390805,2040
3,2.5,3986,517588.5,5.99137931,1910
3,2,4120,522128.75,4.477011494,940
3,1.5,11109,862647.5,8.884482759,1700
4,2.5,5240,375932.7,3.442528736,2120
3,1,2890,499427.5,3.297126437,1070
1,0.75,5936,86264.75,1.750574713,760
2,1,7505,256070.1,3.738505747,1150
3,1,5415,236093,2.936781609,1200
3,2.5,8207,389553.45,2.325862069,2530
3,2,10075,320541.65,2.174712644,1678
4,2.5,5665,476726.25,3.329310345,3070
3,2.25,13171,399496.5975,2.418390805,2170
1,1.5,3826.666667,199771,2.116666667,1100
2,2.25,107890,373208.55,2.65,1910
3,1,7340,298748.45,4.32816092,900
4,2.25,8335,243941.2762,2.344827586,1810
3,1,5340,225196.4,2.116666667,1260
4,3.25,84800,808164.5,2.65,4360
3,1.75,7112,236093,2.120114943,1680
3,1.5,7215,177069.75,1.750574713,1200
2,1,5280,237001.05,2.136206897,970
4,3.25,13500,2270125,5.518390805,3960
5,3,10505,662876.5,5.809195402,2500
3,2,8666,567531.25,2.681034483,2168
4,2.25,3992,453116.95,3.90862069,2440
1,1,2980,594863.555,4.668390805,1220
1,1,7000,192506.6,3.193678161,620
3,1.75,32816,339610.7,4.224712644,1510
2,1,5030,435409.975,3.297126437,930
1,1,4360,555005.6083,4.320689655,1940
3,2,6673,390461.5,3.323563218,1540
3,1,8930,230644.7,2.051724138,1270
4,2.5,10190,845474.4584,5.904022989,3510
3,1.75,10464,331438.25,4.32816092,1830
3,2.5,3759,469915.875,4.427011494,1800
2,1.75,3316,250803.41,2.116666667,1370
3,2,14710,440404.25,4.254022989,1590
3,1,7726,399542,4.66954023,1250
4,2.25,4070,1502822.75,5.518390805,3530
4,1.75,7251,540289.75,5.809195402,2510
4,2.5,6180,454025,3.732758621,1770
2,1.5,679,470369.9,4.476436782,1140
3,2.5,6930,276955.25,2.325862069,2030
3,2.5,7037,669232.85,4.66954023,2300
3,2.5,2745,233278.045,2.325862069,1720
4,2.25,6050,308691.5975,2.418390805,2200
3,3,7406,495795.3,5.429885057,1530
2,1.75,4009,635798.449,4.668390805,1530
4,1,6020,343242.9,3.298850575,1300
2,1.5,4356,592956.65,4.668390805,1290
5,4.5,41735,1725295,5.904022989,5160
4,2,7870,367851.055,3.323563218,1580
5,3.5,24643,406806.4,2.65,3740
2,1,4930,204311.25,2.49137931,1070
3,1.75,4910,617474,4.668390805,1090
3,2.5,945,381381,4.427011494,1470
4,2.25,8915,317817.5,2.344827586,1780
5,3,15366,1090286.555,5.809195402,3640
5,2.5,5953,485806.75,3.329310345,3190
3,1,8110,114868.325,2.681034483,1130
3,2.5,6531,227012.5,2.325862069,1730
3,1.75,6534,240633.25,2.325862069,1420
5,3,3290,317817.5,2.936781609,2320
5,1.75,26905,549370.25,4.427011494,3240
3,2.5,6687,267874.75,2.65,1690
3,1,3506.666667,363129.195,4.477011494,860
3,1.75,35642,476726.25,4.224712644,2620
4,3.5,2773.333333,1012929.775,4.063218391,2830
3,2.5,4617,490347,3.90862069,2400
4,2.5,9341,785463.25,5.429885057,2580
3,1.75,8920,481266.5,4.693678161,1430
4,2.5,4020,454025,3.90862069,2960
2,1,6271,281495.5,3.12816092,1020
5,3.25,993,649255.75,4.224712644,2710
2,1.5,2765,503967.75,4.476436782,1190
5,4.5,4600,700111.0903,3.995402299,4000
5,2.75,17491,417657.5975,2.418390805,3078
4,2.5,4251,345059,2.65,2110
4,3.5,28094,547554.15,2.486781609,3610
3,2.25,1031.333333,584738.7975,4.320689655,1760
4,2.5,3211,830865.75,3.732758621,2910
4,2.5,5447,781931.8436,5.144252874,3650
4,3.25,16893.33333,2633345,8.884482759,5050
2,1,4484,177069.75,3.297126437,820
3,1.75,3300,463105.5,3.297126437,1490
4,2.75,5040,585692.25,3.459770115,2340
3,1,2750,771842.5,5.355747126,2280
2,2.75,550,335933.0975,3.298850575,1370
3,1.5,7170,354139.5,3.323563218,1240
4,2.5,4777,325081.9,2.65,1830
3,2.25,2825,547554.15,4.668390805,1700
3,2.5,4311,490347,4.427011494,1670
3,2,52494,454025,2.65,3040
2,2,12105,681037.5,3.442528736,2370
3,1.5,41638,343242.9,3.995402299,1050
3,1,3840,184334.15,2.418390805,840
4,1.75,11410,257159.76,1.920114943,1830
4,2,3756.666667,598041.73,4.477011494,1400
4,2.5,33619,481266.5,2.418390805,2940
3,2.5,2960,816235.2484,5.429885057,2080
5,3.25,6370,449484.75,2.936781609,2500
1,1,6810,195230.75,3.193678161,970
4,2.5,2773,799084,6.934482759,2350
4,3.5,18511,635635,5.144252874,5360
4,1.75,2674,455841.1,3.298850575,1920
4,3.25,13327,827233.55,5.99137931,3526
2,1,8580,275139.15,3.257471264,1020
4,2.5,7615,313277.25,1.920114943,2420
3,1,7010,254254,3.12816092,1020
3,2.75,6525,708279,3.738505747,2910
4,2.75,39440,293300.15,2.348275862,2230
3,2.75,7471,190690.5,2.174712644,1320
4,1.5,3160,908050,4.590224138,2100
3,2.25,9165,567531.25,5.144252874,1920
2,1,3250,267874.75,4.476436782,750
3,1.5,1115,376840.75,5.272988506,1360
2,2,3429,471277.95,5.029310345,1560
3,1.5,2190,569074.935,4.663793103,1410
3,2.5,6814,426783.5,3.329310345,2070
4,2.5,13419,998855,5.429885057,2190
4,2.5,8058,467695.6928,3.257471264,2400
3,2.5,7879,499427.5,5.144252874,1980
5,2.5,6669,249713.75,3.298850575,2570
2,1,4330,340518.75,4.149425287,790
3,2,3200,335933.0975,2.936781609,1520
3,2.5,9624,326898,2.486781609,2150
3,2.25,4100,327806.05,2.49137931,2470
3,1.5,4319,326898,3.297126437,1060
3,1.5,7829,517588.5,5.429885057,1300
3,2.5,998,412508.954,4.427011494,1470
2,1,26452,298748.45,3.406321839,990
2,1.5,3853.333333,558450.75,4.476436782,880
3,1.5,4350,650643.2504,4.668390805,1750
3,2,13327,560675.4725,5.904022989,1580
2,1.5,989,399542,4.476436782,1120
4,1.5,3940,567531.25,4.476436782,2120
3,1,3990,390461.5,3.459770115,1210
5,3.5,1063.666667,562082.95,4.063218391,2950
4,2.25,3594,597950.925,5.272988506,1900
2,1,3070,633818.9,4.590224138,1510
2,1,7010,413162.75,3.297126437,1140
3,2,7850,571617.475,5.99137931,2020
4,1.5,9460,408577.0975,3.732758621,1800
3,1,8603,434955.95,4.213218391,1480
3,2,4100,646531.6,4.477011494,1700
3,2.5,4777,550732.325,5.99137931,2170
3,2.25,6056,824055.375,4.668390805,2850
3,2.25,6870,245173.5,1.998275862,1740
3,1.75,27280,490347,4.427011494,2590
2,1.75,13510,446760.6,3.329310345,1300
3,2.5,3155,323174.995,2.65,2090
5,3.25,216095,401812.125,5.029310345,4240
3,1.75,4420,610663.625,5.272988506,1580
2,1,4221.333333,365036.1,4.149425287,1210
2,1,6790,204311.25,1.998275862,1010
3,1.75,9860,270598.9,1.920114943,1620
2,1,3010,678313.35,4.590224138,990
2,1,16020,172529.5,3.557471264,710
5,1.75,9678,421179.0154,2.344827586,3250
4,3.5,2895,644715.5,4.668390805,2850
1,0.75,5670,318725.55,3.738505747,930
3,1,8610,143471.9,2.136206897,1140
4,2.5,110730.6667,424967.4,2.214367816,2480
4,2.75,9447,472186,3.323563218,2700
5,3.25,57737,1152215.565,4.32816092,4410
4,2,3539.666667,463105.5,3.459770115,2210
3,1,3006.666667,408622.5,3.297126437,1430
3,2.25,1799.5,417703,5.809195402,1453
4,2.5,7233,335070.45,2.120114943,2550
3,1,6896,408622.5,2.344827586,1350
2,1.75,5040,208397.475,2.49137931,1870
5,2.5,5665,522128.75,3.329310345,3070
2,1,3385,326898,4.476436782,880
3,2.5,693.3333333,549370.25,4.668390805,1660
3,3,1345,416794.95,3.459770115,2440
2,2.5,1716,320087.625,2.936781609,1570
3,2.5,4195,490347,5.029310345,1810
4,2.5,25211,335070.45,2.214367816,3060
4,1,798,345059,3.298850575,1200
3,2.5,13560,862647.5,3.257471264,2780
2,1.75,182,314276.105,4.224712644,1150
3,2.5,3221,317817.5,2.681034483,1730
5,2.5,7480,485761.3475,3.442528736,3220
3,3,4610,567531.25,3.90862069,2780
5,1,3740,908050,5.355747126,2010
2,1,4985,413162.75,3.323563218,980
3,1.75,9490,391369.55,3.193678161,1630
2,1,4160,342788.875,4.149425287,840
2,1,2430,499427.5,4.590224138,1070
3,1.75,1536,431323.75,2.936781609,1150
3,1,6893,253345.95,3.323563218,1010
2,1,4575,524398.875,4.590224138,1640
4,1.75,7455,385921.25,3.298850575,2520
3,4.5,12208,1316672.5,3.732758621,3970
4,2.5,2916,690118,4.66954023,3520
2,1,3416,527577.05,4.477011494,1170
4,2.5,4910,383197.1,2.65,3200
3,1,5348,229918.26,3.12816092,1360
4,3.5,4733,552548.425,3.12816092,2850
2,1,6490,395909.8,3.298850575,1040
3,1.75,76668,222472.25,2.49137931,1740
4,1.75,6620,410438.6,3.786206897,1570
3,2.5,9101,679221.4,5.429885057,2600
1,1,4785,227012.5,4.063218391,660
2,2,4230,454933.05,4.477011494,1300
2,1,6928,216115.9,2.118390805,1088
4,1,4984,240633.25,3.297126437,1290
2,2,1043.666667,281495.5,3.738505747,1030
3,2,5100,392277.6,3.738505747,1400
2,1,5266.666667,190690.5,3.19137931,1100
3,2.5,203112,593864.7,3.257471264,3240
4,3.25,165108,767302.25,5.904022989,2880
3,1.5,4585,1080579.5,5.355747126,2540
3,2.5,3908,295116.25,2.65,1580
4,4,15777,2587942.5,5.809195402,5040
3,1,7450,245173.5,3.329310345,1130
5,2.25,7850,281495.5,2.120114943,2600
3,1.75,7500,517588.5,4.66954023,2390
4,3.75,14140,1420508.018,9.026436782,3730
6,2.75,17870,961443.34,4.254022989,2980
3,1.75,6120,196683.63,2.325862069,2200
4,2.25,8047,943463.95,3.738505747,2740
3,2.75,9367,721899.75,5.99137931,2940
3,1,3662,422243.25,3.297126437,1210
3,2,-217,372300.5,3.298850575,1750
3,2.5,6688,490347,2.681034483,1970
3,1.75,6632,435864,3.800574713,2920
2,1,8442,286035.75,3.323563218,770
4,2.75,6649,332346.3,2.65,2170
3,2.5,6430,245173.5,2.174712644,1540
3,1,4870,222472.25,2.136206897,1380
3,1,10713.66667,327806.05,3.323563218,1040
4,1.5,6490,386829.3,4.66954023,1470
3,2.5,1139.333333,451300.85,4.477011494,1220
3,2.25,1746.333333,467600.3475,4.477011494,1310
4,2.25,13840,1089660,9.026436782,2320
2,1,4110,619290.1,5.518390805,890
3,1,9980,499427.5,5.904022989,980
3,1.75,3830,510324.1,4.063218391,1880
3,2.5,5225,658336.25,5.144252874,2810
3,2.75,35315,612888.3475,2.65,3510
3,2.25,5268,304196.75,2.65,1870
5,3.5,334,1135062.5,5.518390805,3510
3,2.5,242865.3333,706190.485,3.406321839,2260
4,2,4155,295070.8475,2.344827586,2160
4,3.25,6225,1815191.95,5.272988506,3910
3,1.75,7940,539179.2049,4.66954023,1510
6,2,6680,549370.25,4.213218391,2610
3,1,6533.333333,155730.575,2.118390805,1150
3,2.25,214202,444944.5,2.348275862,2840
2,1,4216,510778.125,4.590224138,1170
3,2.5,6812,263289.0975,2.118390805,1770
3,1,3926.666667,544830,4.590224138,1310
3,1,6552,182518.05,1.750574713,900
3,1.75,6852,222018.225,2.418390805,1210
6,3,4220,395001.75,3.297126437,3560
3,1.5,10229,345059,5.809195402,1430
4,4.5,14548,1498282.5,9.026436782,5550
4,2.5,17871.66667,646531.6,4.32816092,3140
3,2.5,12333,719175.6,5.99137931,3320
